restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;yes;yellow;73;instagram;organic;Hoje foi dia de conhecer o restaurante @laemmae.cg, que faz ...;https://instagram.com/reel/DQecpjtDUsj;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;61;instagram;organic;"Lá em Mãe | Restaurante e Bar on Instagram: ""É desse jeito ...";https://instagram.com/reel/Cihwm3hA7VI;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;61;instagram;organic;Mais um ano de parceria com a @emagrecentro_cgrande que ...;https://instagram.com/reel/C8Z8zjQuGyq;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;61;instagram;derived_instagram_handle;Instagram profile @emagrecentro_cgrande;https://instagram.com/emagrecentro_cgrande;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;57;instagram;organic;Forró Bode | Bodódromo (@forrobode.oficial);https://instagram.com/forrobode.oficial;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;45;instagram;organic;Lá em Mãe | Restaurante e Bar (@laemmae.cg);https://instagram.com/laemmae.cg;city_not_confirmed
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;40;tripadvisor;organic;Bododromo - Restaurantes: Campina Grande;https://tripadvisor.com.br/Restaurant_Review-g793400-d5365956-Reviews-Bododromo-Campina_Grande_State_of_Paraiba.html;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;37;instagram;organic;A comida regional mais gostosa do # ...;https://instagram.com/p/C8r1_zhORcR;city_not_confirmed
