status;name;type;address;rating;reviews;place_id;google_maps_url;query;area;ll;reason
already_in_database;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Restaurante;R. Vitorino Cardoso, 908 - Ponta de Campina, Cabedelo - PB, 58101-510;4.4;10742;ChIJdbKCxUTerAcRNmBt0eRrdX8;https://www.google.com/maps/place/?q=place_id:ChIJdbKCxUTerAcRNmBt0eRrdX8;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Ancoradouro Ponta de Campina;Restaurante;R. Henrique Siqueira, 242 - Ponta de Campina, Cabedelo - PB, 58310-000;3.9;495;ChIJZ2RoyxLfrAcRupeEWBQrnEc;https://www.google.com/maps/place/?q=place_id:ChIJZ2RoyxLfrAcRupeEWBQrnEc;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Sax Café - Por do Sol da Praia do Jacaré Cabedelo/PB;Restaurante;Pôr do Sol, R. Praia do Jacaré, Cabedelo - PB, 58310-000;4.5;102;ChIJ42uw2z3frAcRpvqGhKXp_LM;https://www.google.com/maps/place/?q=place_id:ChIJ42uw2z3frAcRpvqGhKXp_LM;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Numar Bar e Restaurante;Bar;Av. Oceano Atlântico, 878 - Intermares, Cabedelo - PB, 58310-000;4.5;1370;ChIJ29wxE1zfrAcRAXclbUaSW8w;https://www.google.com/maps/place/?q=place_id:ChIJ29wxE1zfrAcRAXclbUaSW8w;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Restaurante Recanto do Picuí Intermares;Restaurante;R. Golfo Sidra, 72 - Intermares, Cabedelo - PB, 58310-000;4.5;1267;ChIJ7xU6NRLerAcRpPuWqjv1L7c;https://www.google.com/maps/place/?q=place_id:ChIJ7xU6NRLerAcRpPuWqjv1L7c;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Cibelly Bar & Restaurante;Bar e restaurante de ostras;Rua Luna Pedrosa, 1260 - Poço, Cabedelo - PB, 58101-574;4.1;4295;ChIJ63V170_erAcRZ2vvWZseSgE;https://www.google.com/maps/place/?q=place_id:ChIJ63V170_erAcRZ2vvWZseSgE;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Ponta De Campina;Praia;Cabedelo - PB;4.7;2439;ChIJr75kQ0PerAcRVbC2hxszRNo;https://www.google.com/maps/place/?q=place_id:ChIJr75kQ0PerAcRVbC2hxszRNo;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;CTG Saudade Da Querência;Restaurante;R. João Santos Coelho Filho, 125 - Lot. Praia Grande, Cabedelo - PB, 58310-000;4.6;293;ChIJv8vnDLPfrAcR2d01H7Lb744;https://www.google.com/maps/place/?q=place_id:ChIJv8vnDLPfrAcR2d01H7Lb744;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Sakê Temakeria Ponta de Campina, Cabedelo;Restaurante japonês;Av. Oceano Atlântico, 1592 - Sl 16 E 17 - Ponta de Campina, Cabedelo - PB, 58310-000;4.7;261;ChIJ2Xj63j_drAcRrllAg3GcmOU;https://www.google.com/maps/place/?q=place_id:ChIJ2Xj63j_drAcRrllAg3GcmOU;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
already_in_database;Big Jack comida de rua com INSPIRAÇÃO texana;Restaurante;Av. Mar Vermelho, QUADRA 12 - LOTE 01 - Intermares, Cabedelo - PB, 58102-120;4.8;353;ChIJCTY1v6rfrAcRD3ZYZu4I32E;https://www.google.com/maps/place/?q=place_id:ChIJCTY1v6rfrAcRD3ZYZu4I32E;restaurantes Cabedelo PB;Ponta de Campina;@-7.0374,-34.8347,15z;already_in_database
