tier,score,platform,restaurantName,sourceUrl,flags,nextAction,restaurantId
green,7,cardapioweb,Bar da Curva - Sandro's Bar,https://app.cardapioweb.com/sandros_bar?s=cb,,fast_visual_review_then_import,395c5d1a-99f7-40e3-82f3-af6e22406e75
green,7,cardapioweb,Bom Sabor Pizzaria,https://app.cardapioweb.com/pizzaria_bomsabor?s=insta,,fast_visual_review_then_import,a270e4fe-e0a7-4c8e-8213-8766bbb053c6
green,7,cardapioweb,Chinatown Campina Grande,https://app.cardapioweb.com/_chinatown,,fast_visual_review_then_import,8911ead0-193d-403a-8728-d857bc9e0df5
green,7,cardapioweb,Dan Pizza,https://app.cardapioweb.com/dan_pizza?s=cb,,fast_visual_review_then_import,2fa16117-987d-414e-bb67-9e73fc568007
green,7,cardapioweb,DinDin Alegria,https://app.cardapioweb.com/dindin_alegria,,fast_visual_review_then_import,7a564e31-faab-4bf2-9c1a-791be4da2968
green,7,cardapioweb,Doha Esfiharia - CG,https://app.cardapioweb.com/doha_esfiharia,,fast_visual_review_then_import,d716d71f-e1c9-41da-a7de-bb32b7bc5854
green,7,cardapioweb,Dom Brie Pizzaria,https://app.cardapioweb.com/dom_brie,,fast_visual_review_then_import,a00d132c-437d-414f-8297-08b106fec9f8
green,7,cardapioweb,Don Lisita,https://app.cardapioweb.com/don_lisita,,fast_visual_review_then_import,86800c1f-985b-413a-b0b4-a9272d46ea77
green,7,cardapioweb,FG Restaurante,https://app.cardapioweb.com/fg_restaurante?s=cb,,fast_visual_review_then_import,d5fa8d11-c3bd-448a-880a-595ee6bfbdcd
green,7,cardapioweb,Flex Burger,https://app.cardapioweb.com/flex_burguer,,fast_visual_review_then_import,96cc6118-2391-436a-819d-0489f904c3a3
green,7,cardapioweb,Gullas Açai cg,https://app.cardapioweb.com/gullas_acai,,fast_visual_review_then_import,8ead78d8-948d-4ddb-97d4-8094272c3028
green,7,cardapioweb,Ingrid Lanches,https://app.cardapioweb.com/ingrid_lanches?s=cb,,fast_visual_review_then_import,33ac9b4c-1a97-45e8-9392-6dfb8bee9184
green,7,cardapioweb,JBR Açaí,https://app.cardapioweb.com/jbr_acai,,fast_visual_review_then_import,60c0c73c-1a0f-4123-8122-a09cf623c51f
green,7,cardapioweb,Kilomarmita,https://app.cardapioweb.com/kilomarmita,,fast_visual_review_then_import,d53ffbac-d8cb-4a8b-bc58-43c3a6f76841
green,7,cardapioweb,lenha steak,https://app.cardapioweb.com/lenha_steak,,fast_visual_review_then_import,9289d682-9aee-4573-be1b-8a4fedec8b14
green,7,cardapioweb,Mega Lanche - UND 02,https://app.cardapioweb.com/mega_lanche_delivery_unidade_1,,fast_visual_review_then_import,0f37ebd7-3f00-4394-9d3f-bb2099bef1ae
green,7,cardapioweb,Mestre Burger,https://app.cardapioweb.com/mestre_burger,,fast_visual_review_then_import,d8d17641-31ee-4b8f-831b-09bcfd507d5a
green,7,cardapioweb,Na'vi Rooftop,https://app.cardapioweb.com/navi_rooftop,,fast_visual_review_then_import,52e4f7dc-a4b3-4c03-b71b-ad4737294ff5
green,7,cardapioweb,Pastel da Galega,https://app.cardapioweb.com/pasteldagalega,,fast_visual_review_then_import,4a4b47e4-4a99-46ae-ad9e-ffb8d3411b86
green,7,cardapioweb,Restaurante Daikôn,https://app.cardapioweb.com/daikon_delivery?s=pub,,fast_visual_review_then_import,528002c2-69ff-4e98-9646-8ed10b97ea69
green,7,cardapioweb,Restaurante Itararé Campina Grande,https://app.cardapioweb.com/itarare_restaurante,,fast_visual_review_then_import,19405c6d-3344-4e65-93de-8338c908335f
green,7,cardapioweb,Santhiago coxinhas gourmet,https://app.cardapioweb.com/santhiago_coxinhas,,fast_visual_review_then_import,5f736ed2-ba89-4d77-9a13-005bca09ee47
green,7,cardapioweb,Seu Bibi Pastelaria,https://app.cardapioweb.com/seubibi_pastelaria,,fast_visual_review_then_import,838f1dd1-a1a6-4969-ae6f-e3af43e66f96
green,7,cardapioweb,Sítio do Milho,https://app.cardapioweb.com/sitio_do_milho,,fast_visual_review_then_import,3f146632-b53f-4bb5-8e76-1b5346edc923
green,7,cardapioweb,Só burritos cg,https://app.cardapioweb.com/so_burritos?s=cb,,fast_visual_review_then_import,8c70dd03-b9ef-4b9e-8208-082eb662d413
green,7,cardapioweb,Sorvemix Liberdade,https://app.cardapioweb.com/sorvemix_liberdade,,fast_visual_review_then_import,3fa865fb-9e06-4a48-bd3c-2a52035b5703
green,7,cardapioweb,Sweet Gelatus,https://app.cardapioweb.com/sweet_gelatus,,fast_visual_review_then_import,c194276a-dda6-4d26-b629-871f28bbd1bd
green,7,cardapioweb,Uai Pizza,https://app.cardapioweb.com/uai_pizza?s=insta,,fast_visual_review_then_import,95a286ad-62ac-46b1-a946-0399167b3801
green,7,cardapioweb,We Go Pizza,https://app.cardapioweb.com/wegopizza,,fast_visual_review_then_import,d17b37a1-5328-46e3-ac3e-31cce290f252
green,8,cardapioweb,Capitão salgados,https://app.cardapioweb.com/capitao_salgados,,fast_visual_review_then_import,62f432e9-4c8e-4cf3-bfba-0679da508ff0
green,8,cardapioweb,Dona Chica • Restaurante e Cafeteria,https://app.cardapioweb.com/donachicarestauranteecafeteria,,fast_visual_review_then_import,bd288ecd-1eb8-44ea-8920-21de8b235792
green,8,cardapioweb,Giba Burguer,https://app.cardapioweb.com/giba_burguer,,fast_visual_review_then_import,f38d8018-e746-4e4d-8dc1-d4c953032dcc
green,8,cardapioweb,Jaba pizzas e massas,https://app.cardapioweb.com/jabapizzas_e_massas?s=cb,,fast_visual_review_then_import,37a86011-a5d5-4b64-a95b-4b9047eeec9c
green,8,cardapioweb,Restaurante Bom Sabor,https://app.cardapioweb.com/pizzaria_bomsabor?s=insta,,fast_visual_review_then_import,2bedb529-8d56-45e2-b0a1-98ea200ad27c
green,8,cardapioweb,Seu Espeto Bar e Pesticaria,https://app.cardapioweb.com/seuespeto_,,fast_visual_review_then_import,cb172090-7a99-49be-a5da-5ea4ef1f5a4c
