status;name;type;address;rating;reviews;place_id;google_maps_url;query;area;ll;reason
accepted;Skama Bar e Restaurante;Restaurante;Av. Cassiano da Cunha Nóbrega, 18 - Ponta de Matos, Cabedelo - PB, 58100-965;4.2;397;ChIJl-GtFGkgrQcROqBgkhHbHuA;https://www.google.com/maps/place/?q=place_id:ChIJl-GtFGkgrQcROqBgkhHbHuA;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Caldinho Prime Formosa;Restaurante;Av. Cassiano da Cunha Nóbrega, 555 - Vila Sao Joao, Cabedelo - PB, 58310-000;4.7;46;ChIJo3IrDQAhrQcRuau8CF_J1oc;https://www.google.com/maps/place/?q=place_id:ChIJo3IrDQAhrQcRuau8CF_J1oc;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Ilha Dourada Restaurante;Restaurante de frutos do mar;BR -230, R. José Américo de Almeida Filho, s/n - Areia Dourada, Cabedelo - PB, 58101-212;4.2;3161;ChIJ19PDcIXfrAcRzBwfL7gvIIs;https://www.google.com/maps/place/?q=place_id:ChIJ19PDcIXfrAcRzBwfL7gvIIs;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Bar das Meninas Restaurante;Restaurante de frutos do mar;R. Des. Onaldo N Montenegro, 368 - Vila Sao Joao, Cabedelo - PB, 58109-342;4.2;3174;ChIJodwqQ2kgrQcR4ABUUI60O8Y;https://www.google.com/maps/place/?q=place_id:ChIJodwqQ2kgrQcR4ABUUI60O8Y;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Restaurante Pôr do Sol;Restaurante;R. Pres. João Pessoa, 1 - Vila Sao Joao, Cabedelo - PB, 58310-000;4.6;105;ChIJb69icnQgrQcRc9_nUnm-luI;https://www.google.com/maps/place/?q=place_id:ChIJb69icnQgrQcRc9_nUnm-luI;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Caiçara Bar e Restaurante;Restaurante;Praia de, Rua Cassiano, Av. Cassiano da Cunha Nóbrega - Ponta de Matos, Cabedelo - PB, 58100-695;4.7;39;ChIJ6UAYvCohrQcRzW-CciJ0DB0;https://www.google.com/maps/place/?q=place_id:ChIJ6UAYvCohrQcRzW-CciJ0DB0;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Restaurante;R. Vitorino Cardoso, 908 - Ponta de Campina, Cabedelo - PB, 58101-510;4.4;10742;ChIJdbKCxUTerAcRNmBt0eRrdX8;https://www.google.com/maps/place/?q=place_id:ChIJdbKCxUTerAcRNmBt0eRrdX8;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
rejected;Verano Praia Bar;Bar;Av. Pastor José Alves de Oliveira, 848 - Areia Dourada, Cabedelo - PB, 58101-205;4.4;324;ChIJh0FVTwvfrAcRloIZE5Iit7w;https://www.google.com/maps/place/?q=place_id:ChIJh0FVTwvfrAcRloIZE5Iit7w;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;not_clearly_food_establishment
accepted;Churrascaria do Caicó;Churrascaria;R, Av. Pastor José Alves de Oliveira, 365 - Centro, Cabedelo - PB, 58100-222;4.3;753;ChIJVaKROncgrQcR5lpnht-FotI;https://www.google.com/maps/place/?q=place_id:ChIJVaKROncgrQcR5lpnht-FotI;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Tenda Formosa Bar & Restaurante;Restaurante;Av. Cassiano da Cunha Nóbrega, 98 - Praia Formosa, Cabedelo - PB, 58100-685;4.1;1507;ChIJIc-iXWUgrQcReqjiUbw742w;https://www.google.com/maps/place/?q=place_id:ChIJIc-iXWUgrQcReqjiUbw742w;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Sport Marina;Restaurante de frutos do mar;Av. Pastor José Alves de Oliveira, 848 - Areia Dourada, Cabedelo - PB, 58101-232;4.5;503;ChIJpSulOXggrQcR1X8-11zV034;https://www.google.com/maps/place/?q=place_id:ChIJpSulOXggrQcR1X8-11zV034;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;RESTAURANTE DA WILMA;Restaurante;Jacaré, Cabedelo - PB, 58315-000;4.9;8;ChIJpVkCVxsgrQcRd4H-jTRlUZw;https://www.google.com/maps/place/?q=place_id:ChIJpVkCVxsgrQcRd4H-jTRlUZw;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Bar e Restaurante do Sumé;Restaurante de frutos do mar;Av. Oceano Atlântico, 98 - Vila Sao Joao, Cabedelo - PB, 58310-000;4.1;762;ChIJx6-fZGUgrQcR3ejC32WCAA4;https://www.google.com/maps/place/?q=place_id:ChIJx6-fZGUgrQcR3ejC32WCAA4;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Atlântico bar, cabedelo;Restaurante;Cassiano, Av. Cassiano da Cunha Nóbrega - Ponta de Matos, Cabedelo - PB, 58100-695;4.4;8;ChIJsc6M1VohrQcR2aadwXNqCYM;https://www.google.com/maps/place/?q=place_id:ChIJsc6M1VohrQcR2aadwXNqCYM;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
rejected;Comida Caseira da Elly;Restaurante;Mercado Público de Cabedelo, BOX 138, Centro, Cabedelo - PB, 58100-140;5;19;ChIJBfEE9CwhrQcR2xtfopCJ34w;https://www.google.com/maps/place/?q=place_id:ChIJBfEE9CwhrQcR2xtfopCJ34w;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;excluded_category_or_name
accepted;Residência do Mário;Restaurante;R. Cleto Campêlo, 889 - Camalaú, Cabedelo - PB, 58103-242;4.7;153;ChIJJ1WRk4nfrAcRe75oQKtSH4Y;https://www.google.com/maps/place/?q=place_id:ChIJJ1WRk4nfrAcRe75oQKtSH4Y;restaurantes Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
