tier,score,platform,restaurantName,sourceUrl,flags,nextAction,restaurantId
yellow,7,cardapioweb,Bar da Curva - Sandro's Bar,https://app.cardapioweb.com/sandros_bar?s=cb,operational_options_detected|insufficient_visual_menu_evidence,manual_codex_review_before_import,395c5d1a-99f7-40e3-82f3-af6e22406e75
yellow,7,cardapioweb,Bom Sabor Pizzaria,https://app.cardapioweb.com/pizzaria_bomsabor?s=insta,insufficient_visual_menu_evidence,manual_codex_review_before_import,a270e4fe-e0a7-4c8e-8213-8766bbb053c6
yellow,7,cardapioweb,Chinatown Campina Grande,https://app.cardapioweb.com/_chinatown,insufficient_visual_menu_evidence,manual_codex_review_before_import,8911ead0-193d-403a-8728-d857bc9e0df5
