restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;yes;yellow;79;instagram;organic;𝑪𝑶.𝑭𝑭𝑬𝑬 (@co.ffeepb) · Campina Grande, PB;https://instagram.com/co.ffeepb;
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;yellow;59;instagram;organic;"CO.FFEE on Instagram: ""Celebre conosco!!! Decoramos a sua ...";https://instagram.com/reel/C4nraapuYby;
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;yellow;56;tripadvisor;organic;Co.ffee - Restaurantes: Campina Grande;https://tripadvisor.com.br/Restaurant_Review-g793400-d23972484-Reviews-Co_ffee-Campina_Grande_State_of_Paraiba.html;
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;red;28;duogourmet.com.br;organic;CO.FFEE Campina Grande;https://duogourmet.com.br/restaurantes/campina-grande/coffee;
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;red;20;vucafood.com.br;organic;Cardápio Digital Co.ffee;https://vucafood.com.br/coffee/Coffee/cardapio-digital;city_not_confirmed
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;red;16;delivery.menew.com.br;organic;Delivery Menew;https://delivery.menew.com.br/coffee;city_not_confirmed
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;red;16;vucafood.com.br;organic;Delivery Co.ffee;https://vucafood.com.br/coffee/Coffee/delivery;city_not_confirmed
;CO.FFEE Campina Grande cardapio pedido;CO.FFEE Campina Grande cardapio pedido;;red;10;coffeepb.com.br;organic;CO.FFEE Bistrô & Cafeteria;https://coffeepb.com.br;city_not_confirmed
