restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;green;130;anota_ai;organic;La Paloma Restaurante | Delivery em CAMPINA GRANDE;https://pedido.anota.ai/loja/la-paloma-restaurante;
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;yes;yellow;98;instagram;organic;Restaurante Italiano | Campina G. - PB 📍 (@lacucinaristo);https://instagram.com/lacucinaristo;city_not_confirmed
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;96;instagram;organic;La Paloma Restaurante (@lapaloma_restaurante);https://instagram.com/lapaloma_restaurante;city_not_confirmed
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;96;instagram;organic;"PB on Instagram: ""Gostamos que sua experiência seja ...";https://instagram.com/reel/DU35VBmklll;instagram_reel_not_profile
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;96;instagram;organic;Hoje tem pizza no Lacucina! Ainda não experimentou essa ...;https://instagram.com/reel/C6KIWjqvpia;instagram_reel_not_profile
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;90;instagram;organic;O Dia dos Namorados tem música boa no Lacucina! A partir ...;https://instagram.com/reel/DKfGYAQREZM;instagram_reel_not_profile
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;88;instagram;organic;Campina Grande agora tem endereço certo para viver a ...;https://instagram.com/p/DUT9E9fDhS4;instagram_p_not_profile
;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;La Paloma Restaurante Centro R. Irineu Joffily Campina Grande PB Instagram;;yellow;78;instagram;organic;Entregamos em toda Campina Grande-PB ⠀ 🕙 Funciona ...;https://instagram.com/p/DVV826jDh1Q;instagram_p_not_profile|name_not_confirmed
