restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;yes;yellow;55;instagram;organic;Forró Bode | Bodódromo (@forrobode.oficial);https://instagram.com/forrobode.oficial;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;51;instagram;organic;Lá em Mãe | Restaurante e Bar (@laemmae.cg);https://instagram.com/laemmae.cg;city_not_confirmed
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;yellow;49;instagram;organic;Hoje foi dia de conhecer o restaurante @laemmae.cg, que faz ...;https://instagram.com/reel/DQecpjtDUsj;instagram_reel_not_profile
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;43;instagram;derived_instagram_handle;Instagram profile @bododromo.pp;https://instagram.com/bododromo.pp;city_not_confirmed
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;41;instagram;organic;"Lá em Mãe | Restaurante e Bar on Instagram: ""É desse jeito ...";https://instagram.com/reel/Cihwm3hA7VI;instagram_reel_not_profile
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;41;instagram;organic;Mais um ano de parceria com a @emagrecentro_cgrande que ...;https://instagram.com/reel/C8Z8zjQuGyq;instagram_reel_not_profile
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;32;tripadvisor;organic;Bododromo - Restaurantes: Campina Grande;https://tripadvisor.com.br/Restaurant_Review-g793400-d5365956-Reviews-Bododromo-Campina_Grande_State_of_Paraiba.html;
;Bododromo La em Mae Campina Grande cardapio instagram;Bododromo La em Mae Campina Grande cardapio instagram;;red;25;instagram;organic;A comida regional mais gostosa do # ...;https://instagram.com/p/C8r1_zhORcR;instagram_p_not_profile|city_not_confirmed
