restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;yes;green;112;anota_ai;organic;Necão Restaurante | Delivery em CAMPINA GRANDE;https://pedido.anota.ai/loja/neco-restaurante;
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;yellow;51;instagram;organic;Necão Restaurante (@necaorestaurante);https://instagram.com/necaorestaurante;city_not_confirmed
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;43;instagram;organic;"Necão Restaurante on Instagram: ""Entregamos em toda ...";https://instagram.com/reel/DKR7xjXR0Sp;instagram_reel_not_profile
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;38;facebook;organic;Entregamos em toda Campina Grande-PB Funciona das 10 ...;https://facebook.com/NecaoRestaurante/videos/entregamos-em-toda-campina-grande-pb-funciona-das-1000-%C3%A0s-1500h-fechamos-%C3%A0s-quar/787853547266767;
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;38;tripadvisor;organic;Foto de Necão Restaurante, Campina Grande;https://tripadvisor.com.br/LocationPhotoDirectLink-g793400-d14912886-i334188139-Necao_Restaurante-Campina_Grande_State_of_Paraiba.html;
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;38;facebook;organic;Necão Restaurante | Campina Grande PB;https://facebook.com/NecaoRestaurante/?locale=pt_BR;
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;33;instagram;organic;"Necão Restaurante on Instagram: ""Entregamos em toda ...";https://instagram.com/reel/DVn6zGmjkfB;instagram_reel_not_profile|city_not_confirmed
b9232f4a-86ea-44a4-9a27-8471c5403d5d;Necão Restaurante;Necão Restaurante Malvinas R. Santarém (83) 98838-0726 Campina Grande PB cardapio pedido delivery;;red;20;facebook;organic;Ifood ✅ Pedidos pelo nosso site: LINK NA BIO! ...;https://facebook.com/NecaoRestaurante/videos/eu-n%C3%A3o-tenho-d%C3%BAvidas-que-sua-boca-encheu-d%C3%A1gua-n%C3%A3o-tem-como-resistir-comida-quen/2220399298096178/?locale=ms_MY;
