restaurant_id;restaurant_name;query;selected;tier;score;platform;source;title;link;flags
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;yes;yellow;114;instagram;organic;Lovina Ponta de Campina (@lovinapontadecampina);https://instagram.com/lovinapontadecampina/reels;
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;yellow;51;instagram;organic;Está em João Pessoa no verão? Então você precisa vir ...;https://instagram.com/reel/DD47KO0J7v2;instagram_reel_not_profile|instagram_profile_not_canonicalizable
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;yellow;51;instagram;organic;"Lovina Ponta de Campina on Instagram: ""Procurando onde ...";https://instagram.com/reel/CawsnoPjejQ;instagram_reel_not_profile|instagram_profile_not_canonicalizable
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;yellow;48;tripadvisor;organic;Lovina Ponta de Campina - Restaurantes: Cabedelo;https://tripadvisor.com.br/Restaurant_Review-g793398-d4460872-Reviews-Lovina_Ponta_de_Campina-Cabedelo_State_of_Paraiba.html;
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;red;30;cabedelo.pb.gov.br;organic;Lovina Tropical Bar e Restaurante | Prefeitura de Cabedelo;https://cabedelo.pb.gov.br/ondecomer/lovina-tropical-bar-e-restaurante;
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;red;24;youtube.com;organic;LOVINA BAR E A NOVA ORLA DA PRAIA PONTA DE ...;https://youtube.com/watch?v=QQp71BtnlUc;
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;red;24;moovitapp.com;organic;Veja Lovina Tropical Bar & Restaurante, Cabedelo, no mapa;https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-Lovina_Tropical_Bar_Restaurante-Joao_Pessoa-site_19293254-1622;
9488d27a-7737-4c86-b059-0e16a6fb049d;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo;Lovina Ponta de Campina | Bar | Restaurante em Cabedelo Ponta de Campina R. Vitorino Cardoso (83) 99408-6293 Cabedelo PB Instagram;;red;8;wanderboat.ai;organic;Lovina Tropical Restaurant - R. Vitorino Cardoso, 908;https://wanderboat.ai/restaurants/brazil/regi%C3%A3o-geogr%C3%A1fica-imediata-de-jo%C3%A3o-pessoa/lovina-tropical-restaurant/HjyAcmKeTAKgR84JtF13Og;city_not_confirmed
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;yes;yellow;120;instagram;organic;Cibelly Bar & Restaurante (@cibellybar) · Cabedelo, PB;https://instagram.com/cibellybar/?hl=pt-br;
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;yellow;120;instagram;organic;Cibelly Mar | Restaurante Flutuante (@cibellymarr);https://instagram.com/cibellymarr;
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;yellow;57;instagram;organic;Cibelly Bar & Restaurante on Instagram;https://instagram.com/reel/C6g1dFyrC9m;instagram_reel_not_profile|instagram_profile_not_canonicalizable
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;yellow;57;instagram;organic;"Cibelly Mar | Restaurante Flutuante on Instagram: ""O Cibelly ...";https://instagram.com/reel/DNkpxHOuxNi;instagram_reel_not_profile|instagram_profile_not_canonicalizable
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;yellow;51;instagram;organic;"Cibelly Mar | Restaurante Flutuante on Instagram: ""Você está ...";https://instagram.com/reel/DRruQq5jVFi;instagram_reel_not_profile|instagram_profile_not_canonicalizable
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;red;36;tripadvisor;organic;CIBELLY BAR & RESTAURANTE, Cabedelo;https://tripadvisor.com.br/Restaurant_Review-g793398-d7241467-Reviews-Cibelly_Bar_Restaurante-Cabedelo_State_of_Paraiba.html;
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;red;35;instagram;organic;"Cibelly Mar | Restaurante Flutuante on Instagram: ""Qual é o ...";https://instagram.com/reel/DMKmlUuu_MG;instagram_reel_not_profile|instagram_profile_not_canonicalizable|city_not_confirmed
acb457db-a5d7-408e-a3b5-c9cfb3caff7b;Cibelly Bar & Restaurante;Cibelly Bar & Restaurante Poço Rua Luna Pedrosa (83) 99982-5668 Cabedelo PB Instagram;;red;30;facebook;organic;Cibelly Bar & Restaurante | Cabedelo PB;https://facebook.com/Cibellybar/?locale=pt_BR;
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;yes;yellow;128;instagram;organic;gigantedomaroficial • Instagram photos and videos;https://instagram.com/gigantedomaroficial/reels;
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;128;instagram;organic;gigantedomaroficial • Instagram photos and videos;https://instagram.com/gigantedomaroficial;
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;86;instagram;derived_instagram_handle;Instagram profile @guiagiulianopb;https://instagram.com/guiagiulianopb;derived_handle_brand_not_confirmed
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;73;instagram;organic;O verão começa aqui no Gigante do Mar! ☀️ Estamos te ...;https://instagram.com/reel/DErzz7NpcQT;instagram_reel_not_profile|instagram_profile_not_canonicalizable
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;65;instagram;organic;Praia de Camboinha e o Bar Gigante do Mar - a praia está ...;https://instagram.com/reel/DE758W5RTUj;instagram_reel_not_profile|instagram_profile_not_canonicalizable
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;65;instagram;organic;Tínhamos que vir conhecer o Gigante do Mar, o restaurante ...;https://instagram.com/reel/DGbKOfhpapK;instagram_reel_not_profile|instagram_profile_not_canonicalizable
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;59;instagram;organic;Areia Vermelha com o @gigantedomaroficial é uma ...;https://instagram.com/reel/DTLoxfVka1y;instagram_reel_not_profile|instagram_profile_not_canonicalizable
0076b4c5-2d07-416e-a1ac-3ed9e83e02e5;Gigante Do Mar Beach;Gigante Do Mar Beach Camboinha Av. Max Zagel (83) 99995-2504 Cabedelo PB Instagram;;yellow;46;cabedelo.pb.gov.br;organic;Gigante Do Mar Beach | Prefeitura de Cabedelo;https://cabedelo.pb.gov.br/ondecomer/gigante-do-mar-beach;
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;yes;yellow;120;instagram;organic;Meninas Bar e Restaurante (@meninasbar) · Cabedelos, PB;https://instagram.com/meninasbar;
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;yellow;57;instagram;organic;Vamo conhecer a Praia de Miramar em Cabedelo, na Paraíba ...;https://instagram.com/reel/DQrZgPIjY19;instagram_reel_not_profile|instagram_profile_not_canonicalizable
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;yellow;48;tripadvisor;organic;Bar das Meninas - Restaurantes: Cabedelo;https://tripadvisor.com.br/Restaurant_Review-g793398-d5973028-Reviews-Bar_das_Meninas-Cabedelo_State_of_Paraiba.html;
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;red;35;instagram;organic;Reel by Meninas Bar e Restaurante (@meninasbar) · January ...;https://instagram.com/reel/C2pPcvlrAn8;instagram_reel_not_profile|instagram_profile_not_canonicalizable|city_not_confirmed
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;red;35;instagram;organic;"Bar das Meninas on Instagram: ""Nada como um pouco do Bar ...";https://instagram.com/reel/DDU-ei7JZ3R;instagram_reel_not_profile|instagram_profile_not_canonicalizable|city_not_confirmed
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;red;30;wanderboat.ai;organic;Meninas' Bar Restaurant - R. Des. Onaldo N Montenegro, ...;https://wanderboat.ai/restaurants/brazil/regi%C3%A3o-geogr%C3%A1fica-imediata-de-jo%C3%A3o-pessoa/meninas'-bar-restaurant/9jpiPtK2R9OfU_dhBUXWkw;
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;red;30;mindtrip.ai;organic;Meninas' Bar Restaurant in Cabedelo - Ask AI;https://mindtrip.ai/restaurant/cabedelo-state-paraiba/meninas-bar-restaurant/re-BamP9IPc;
8162456c-2817-4a8a-bbab-aa875c29419e;Bar das Meninas Restaurante;Bar das Meninas Restaurante Vila Sao Joao R. Des. Onaldo N Montenegro (83) 98715-5110 Cabedelo PB Instagram;;red;-19;instagram;organic;83 3228-1826 (zap) Vem viver o paraíso! # ...;https://instagram.com/p/DZ8AfH3xenc;instagram_p_not_profile|brand_not_confirmed|instagram_profile_not_canonicalizable|city_not_confirmed
76a39b5d-8130-4119-a4a5-87e8ea3020b8;Ilha Dourada Restaurante;Ilha Dourada Restaurante R. José Américo de Almeida Filho BR -230 (83) 3228-1826 Cabedelo PB Instagram;yes;red;-19;instagram;organic;Pier Restaurante | Já pode? Aqui pode! A partir das 10h30 ...;https://instagram.com/p/DTfirGmAAy2;instagram_p_not_profile|brand_not_confirmed|instagram_profile_not_canonicalizable|city_not_confirmed
d7d014d6-8d90-440c-a2ab-caee3b86bb0d;Tenda Formosa Bar & Restaurante;Tenda Formosa Bar & Restaurante Praia Formosa Av. Cassiano da Cunha Nóbrega (83) 98850-1112 Cabedelo PB Instagram;yes;red;-20;tenda.com;organic;Tenda.com | Conquiste seu Apartamento;https://tenda.com;brand_not_confirmed|city_not_confirmed
d7d014d6-8d90-440c-a2ab-caee3b86bb0d;Tenda Formosa Bar & Restaurante;Tenda Formosa Bar & Restaurante Praia Formosa Av. Cassiano da Cunha Nóbrega (83) 98850-1112 Cabedelo PB Instagram;;red;-20;tendaatacado.com.br;organic;Tenda Atacado - Suas compras de supermercado com preço ...;https://tendaatacado.com.br/?srsltid=AfmBOopc7NwRu4GTiKrZVOuN7Jh-elNgPFH45f9RPzV5vZeH7xHqcJRu;brand_not_confirmed|city_not_confirmed
d7d014d6-8d90-440c-a2ab-caee3b86bb0d;Tenda Formosa Bar & Restaurante;Tenda Formosa Bar & Restaurante Praia Formosa Av. Cassiano da Cunha Nóbrega (83) 98850-1112 Cabedelo PB Instagram;;red;-20;lista.mercadolivre.com.br;organic;Tenda;https://lista.mercadolivre.com.br/tenda;brand_not_confirmed|city_not_confirmed
