status;name;type;address;rating;reviews;place_id;google_maps_url;query;area;ll;reason
already_in_database;Pastelaria Litorânea;Pastelaria brasileira;R. Sólon de Lucena, 19 - Vila Sao Joao, Cabedelo - PB, 58310-000;4.3;280;ChIJMwgi824grQcR0OCGiSGQ4Oc;https://www.google.com/maps/place/?q=place_id:ChIJMwgi824grQcR0OCGiSGQ4Oc;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;already_in_database
already_in_database;La casa de pastel e La Pizza Premium;Pastelaria brasileira;Rua por trás do Campo Municipal, R. Primo José Viana, 463 - Centro, Cabedelo - PB, 58100-521;4.1;261;ChIJYSxGk8ghrQcRk9Nz0uySHBE;https://www.google.com/maps/place/?q=place_id:ChIJYSxGk8ghrQcRk9Nz0uySHBE;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;already_in_database
accepted;Pastelaria em família;Pastelaria brasileira;R. São Miguel - Camalaú, Cabedelo - PB, 58103-212;5;1;ChIJS7zdL3bfrAcRkHxwCEWiiBQ;https://www.google.com/maps/place/?q=place_id:ChIJS7zdL3bfrAcRkHxwCEWiiBQ;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Pastel do Thiago;Pastelaria brasileira;R. Sólon de Lucena - Ponta de Matos, Cabedelo - PB, 58100-570;4;9;ChIJkRCA8QQhrQcRdarr_EmBcBI;https://www.google.com/maps/place/?q=place_id:ChIJkRCA8QQhrQcRdarr_EmBcBI;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Casa Do Pastel;Pastelaria brasileira;R. Honório Patrício dos Santos, 328 - Recanto do Poço, Cabedelo - PB, 58310-000;4.2;20;ChIJoc8jbkrerAcRh20OFIzRlDc;https://www.google.com/maps/place/?q=place_id:ChIJoc8jbkrerAcRh20OFIzRlDc;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
already_in_database;PARCEIRO Rosa Lanches;Lanchonete;R. Ten. Antônio Pontes, 139 - Ponta de Matos, Cabedelo - PB, 58100-645;4.5;120;ChIJKfbziSchrQcRUM5eTvB19FU;https://www.google.com/maps/place/?q=place_id:ChIJKfbziSchrQcRUM5eTvB19FU;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;already_in_database
rejected;Panificadora do Poço;Padaria;R. Carolino Cardoso, 177-245 - Lot. Vitorino Cardoso, Cabedelo - PB, 58310-000;4.2;293;ChIJD-aUzE3erAcRIs-tCW7mU0Q;https://www.google.com/maps/place/?q=place_id:ChIJD-aUzE3erAcRIs-tCW7mU0Q;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;excluded_category_or_name
accepted;Recanto do Pastel;Pastelaria brasileira;R. Gov. Antônio Mariz, 76 - Recanto do Poço, Cabedelo - PB, 58105-126;5;2;ChIJTbQRGwDfrAcRtHi9QRdHtfw;https://www.google.com/maps/place/?q=place_id:ChIJTbQRGwDfrAcRtHi9QRdHtfw;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
accepted;Big lanches camboinha;Pastelaria brasileira;R. Márcia Travassos, 165 - Camboinha, Cabedelo - PB, 58103-718;5;6;ChIJg_1fFG3frAcRQ_tg6GDYS08;https://www.google.com/maps/place/?q=place_id:ChIJg_1fFG3frAcRQ_tg6GDYS08;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;food_scope
rejected;Cabedelo-PB;Desenvolvimento de moradias;R. Cel. José Téles - Vila Sao Joao, Cabedelo - PB, 58100-503;4.9;15;ChIJ3wT1750hrQcRs2veaxaoWXo;https://www.google.com/maps/place/?q=place_id:ChIJ3wT1750hrQcRs2veaxaoWXo;pastelaria Cabedelo PB;Centro Cabedelo;@-6.9748,-34.8373,15z;not_clearly_food_establishment
